date,home,away,tournament,pick,actual,pH,pD,pA,brier
2020-09-03,GER,ESP,UEFA Nations League,A,D,0.2013,0.2398,0.5589,0.9308
2020-09-04,NOR,AUT,UEFA Nations League,H,A,0.5199,0.2502,0.2299,0.9260
2020-09-05,POR,CRO,UEFA Nations League,H,H,0.5278,0.2482,0.2239,0.3347
2020-09-05,SWE,FRA,UEFA Nations League,A,A,0.0871,0.1630,0.7500,0.0967
2020-09-06,SUI,GER,UEFA Nations League,H,D,0.4519,0.2634,0.2847,0.8278
2020-09-07,CZE,SCO,UEFA Nations League,H,A,0.4426,0.2647,0.2927,0.7662
2020-09-08,FRA,CRO,UEFA Nations League,H,H,0.6597,0.2043,0.1360,0.1760
2020-09-08,SWE,POR,UEFA Nations League,A,A,0.0628,0.1351,0.8022,0.0613
2020-10-08,ARG,ECU,FIFA World Cup qualification,H,H,0.8395,0.1134,0.0471,0.0408
2020-10-10,ESP,SUI,UEFA Nations League,H,H,0.7058,0.1843,0.1099,0.1326
2020-10-11,BIH,NED,UEFA Nations League,A,D,0.0229,0.0705,0.9066,1.6864
2020-10-11,ENG,BEL,UEFA Nations League,A,H,0.1961,0.2376,0.5663,1.0233
2020-10-11,CRO,SWE,UEFA Nations League,H,H,0.7657,0.1549,0.0795,0.0852
2020-10-11,FRA,POR,UEFA Nations League,H,D,0.4421,0.2647,0.2932,0.8220
2020-10-13,GER,SUI,UEFA Nations League,H,D,0.4914,0.2565,0.2521,0.8578
2020-10-13,ECU,URU,FIFA World Cup qualification,A,H,0.1742,0.2272,0.5986,1.0919
2020-10-14,POR,SWE,UEFA Nations League,H,H,0.9514,0.0387,0.0099,0.0040
2020-10-14,CRO,FRA,UEFA Nations League,A,A,0.2093,0.2429,0.5477,0.3074
2020-10-14,SCO,CZE,UEFA Nations League,H,H,0.5942,0.2287,0.1771,0.2483
2020-11-12,ARG,PAR,FIFA World Cup qualification,H,D,0.9047,0.0718,0.0235,1.6807
2020-11-13,COL,URU,FIFA World Cup qualification,H,A,0.4346,0.2657,0.2997,0.7498
2020-11-14,POR,FRA,UEFA Nations League,H,A,0.4367,0.2654,0.2979,0.7541
2020-11-14,SWE,CRO,UEFA Nations League,A,H,0.1570,0.2178,0.6253,1.1491
2020-11-14,SUI,ESP,UEFA Nations League,A,D,0.1857,0.2329,0.5814,0.9610
2020-11-15,NED,BIH,UEFA Nations League,H,H,0.9399,0.0471,0.0129,0.0060
2020-11-15,BEL,ENG,UEFA Nations League,H,H,0.5914,0.2297,0.1790,0.2517
2020-11-17,CRO,POR,UEFA Nations League,A,A,0.1450,0.2104,0.6447,0.1915
2020-11-17,FRA,SWE,UEFA Nations League,H,H,0.9620,0.0308,0.0072,0.0024
2020-11-17,ESP,GER,UEFA Nations League,H,H,0.7159,0.1796,0.1045,0.1239
2020-11-17,ECU,COL,FIFA World Cup qualification,H,H,0.4752,0.2596,0.2652,0.4131
2020-11-17,URU,BRA,FIFA World Cup qualification,A,A,0.2958,0.2651,0.4390,0.4725
2020-11-18,AUT,NOR,UEFA Nations League,H,D,0.5289,0.2479,0.2231,0.8952
2021-03-24,TUR,NED,FIFA World Cup qualification,A,H,0.1306,0.2005,0.6690,1.2436
2021-03-25,SCO,AUT,FIFA World Cup qualification,H,D,0.3931,0.2692,0.3377,0.8026
2021-03-27,CZE,BEL,FIFA World Cup qualification,A,D,0.0152,0.0530,0.9318,1.7653
2021-03-27,NOR,TUR,FIFA World Cup qualification,A,A,0.1446,0.2292,0.6262,0.2131
2021-03-31,BIH,FRA,FIFA World Cup qualification,A,A,0.0103,0.0401,0.9496,0.0043
2021-06-03,URU,PAR,FIFA World Cup qualification,H,D,0.7185,0.1784,0.1031,1.2020
2021-06-04,BRA,ECU,FIFA World Cup qualification,H,H,0.8183,0.1259,0.0558,0.0520
2021-06-06,USA,MEX,CONCACAF Nations League,A,H,0.2243,0.2483,0.5274,0.9415
2021-06-08,COL,ARG,FIFA World Cup qualification,A,D,0.1070,0.1818,0.7111,1.1866
2021-06-08,PAR,BRA,FIFA World Cup qualification,A,A,0.0419,0.1053,0.8528,0.0345
2021-06-12,HAI,CAN,FIFA World Cup qualification,A,A,0.1191,0.1918,0.6891,0.1477
2021-06-12,PAN,CUW,FIFA World Cup qualification,H,H,0.6058,0.2248,0.1694,0.2346
2021-06-13,ENG,CRO,UEFA Euro,H,H,0.6031,0.2257,0.1712,0.2378
2021-06-14,SCO,CZE,UEFA Euro,H,A,0.6039,0.2254,0.1707,1.1032
2021-06-14,ESP,SWE,UEFA Euro,H,D,0.9141,0.0654,0.0205,1.7095
2021-06-15,AUS,JOR,FIFA World Cup qualification,H,H,0.5045,0.2693,0.2262,0.3692
2021-06-15,IRN,IRQ,FIFA World Cup qualification,H,H,0.5307,0.2475,0.2218,0.3306
2021-06-15,KSA,UZB,FIFA World Cup qualification,H,H,0.4644,0.2615,0.2742,0.4304
2021-06-15,CAN,HAI,FIFA World Cup qualification,H,H,0.7966,0.1443,0.0591,0.0657
2021-06-15,CUW,PAN,FIFA World Cup qualification,A,D,0.2385,0.2528,0.5088,0.8740
2021-06-15,GER,FRA,UEFA Euro,A,A,0.0570,0.1275,0.8155,0.0536
2021-06-17,NED,AUT,UEFA Euro,H,H,0.8105,0.1304,0.0592,0.0564
2021-06-18,CRO,CZE,UEFA Euro,H,D,0.5124,0.2673,0.2203,0.8480
2021-06-18,ENG,SCO,UEFA Euro,H,D,0.8728,0.0927,0.0345,1.5861
2021-06-19,GER,POR,UEFA Euro,A,H,0.0975,0.1732,0.7293,1.3764
2021-06-20,SUI,TUR,UEFA Euro,A,H,0.2527,0.2770,0.4703,0.8564
2021-06-22,SCO,CRO,UEFA Euro,A,A,0.2494,0.2558,0.4947,0.3829
2021-06-22,ENG,CZE,UEFA Euro,H,H,0.7593,0.1582,0.0825,0.0897
2021-06-23,POR,FRA,UEFA Euro,A,D,0.1435,0.2284,0.6280,1.0103
2021-06-27,NED,CZE,UEFA Euro,H,A,0.8263,0.1263,0.0474,1.6061
2021-06-27,BEL,POR,UEFA Euro,H,H,0.3628,0.2890,0.3482,0.6108
2021-06-28,CRO,ESP,UEFA Euro,A,A,0.1280,0.2171,0.6550,0.1825
2021-06-28,FRA,SUI,UEFA Euro,H,D,0.7361,0.1780,0.0859,1.2250
2021-06-29,ENG,GER,UEFA Euro,H,H,0.4898,0.2568,0.2533,0.3904
2021-07-02,SUI,ESP,UEFA Euro,A,D,0.2013,0.2599,0.5387,0.8785
